Algorithm: BruteForce | Dataset: dataset_transposed | S1 size: 7 S2 size: 7 | Time: 401.976500 microsegundos | 0.000402 segundos | Memoria: 0 bytes
Algorithm: BruteForce | Dataset: dataset_transposed | S1 size: 8 S2 size: 8 | Time: 2934.129000 microsegundos | 0.002934 segundos | Memoria: 0 bytes
Algorithm: BruteForce | Dataset: dataset_transposed | S1 size: 9 S2 size: 9 | Time: 20569.866000 microsegundos | 0.020570 segundos | Memoria: 0 bytes
Algorithm: BruteForce | Dataset: dataset_transposed | S1 size: 10 S2 size: 10 | Time: 74538.521000 microsegundos | 0.074539 segundos | Memoria: 0 bytes
Algorithm: BruteForce | Dataset: dataset_transposed | S1 size: 11 S2 size: 11 | Time: 415860.421000 microsegundos | 0.415860 segundos | Memoria: 0 bytes
Algorithm: BruteForce | Dataset: dataset_transposed | S1 size: 12 S2 size: 12 | Time: 2206664.767500 microsegundos | 2.206665 segundos | Memoria: 0 bytes
Algorithm: BruteForce | Dataset: dataset_transposed | S1 size: 13 S2 size: 13 | Time: 12233955.093000 microsegundos | 12.233955 segundos | Memoria: 0 bytes
Algorithm: BruteForce | Dataset: dataset_transposed | S1 size: 14 S2 size: 14 | Time: 71591595.712000 microsegundos | 71.591596 segundos | Memoria: 0 bytes
Algorithm: BruteForce | Dataset: dataset_transposed | S1 size: 15 S2 size: 15 | Time: 427792694.995500 microsegundos | 427.792695 segundos | Memoria: 0 bytes
Algorithm: BruteForce | Dataset: dataset_fixed_s2 | S1 size: 0 S2 size: 0 | Time: 0.130000 microsegundos | 0.000000 segundos | Memoria: 0 bytes
Algorithm: BruteForce | Dataset: dataset_fixed_s2 | S1 size: 1 S2 size: 15 | Time: 0.973333 microsegundos | 0.000001 segundos | Memoria: 0 bytes
Algorithm: BruteForce | Dataset: dataset_fixed_s2 | S1 size: 2 S2 size: 15 | Time: 10.656667 microsegundos | 0.000011 segundos | Memoria: 0 bytes
Algorithm: BruteForce | Dataset: dataset_fixed_s2 | S1 size: 3 S2 size: 15 | Time: 47.046667 microsegundos | 0.000047 segundos | Memoria: 0 bytes
Algorithm: BruteForce | Dataset: dataset_fixed_s2 | S1 size: 4 S2 size: 15 | Time: 371.791667 microsegundos | 0.000372 segundos | Memoria: 0 bytes
Algorithm: BruteForce | Dataset: dataset_fixed_s2 | S1 size: 5 S2 size: 15 | Time: 2446.529667 microsegundos | 0.002447 segundos | Memoria: 0 bytes
Algorithm: BruteForce | Dataset: dataset_fixed_s2 | S1 size: 6 S2 size: 15 | Time: 13708.398000 microsegundos | 0.013708 segundos | Memoria: 0 bytes
Algorithm: BruteForce | Dataset: dataset_fixed_s2 | S1 size: 7 S2 size: 15 | Time: 55134.942667 microsegundos | 0.055135 segundos | Memoria: 0 bytes
Algorithm: BruteForce | Dataset: dataset_fixed_s2 | S1 size: 8 S2 size: 15 | Time: 212440.565333 microsegundos | 0.212441 segundos | Memoria: 0 bytes
Algorithm: BruteForce | Dataset: dataset_fixed_s2 | S1 size: 9 S2 size: 15 | Time: 782806.338333 microsegundos | 0.782806 segundos | Memoria: 0 bytes
Algorithm: BruteForce | Dataset: dataset_fixed_s2 | S1 size: 10 S2 size: 15 | Time: 2613222.225667 microsegundos | 2.613222 segundos | Memoria: 0 bytes
Algorithm: BruteForce | Dataset: dataset_fixed_s2 | S1 size: 11 S2 size: 15 | Time: 7824055.588333 microsegundos | 7.824056 segundos | Memoria: 0 bytes
Algorithm: BruteForce | Dataset: dataset_fixed_s2 | S1 size: 12 S2 size: 15 | Time: 22099205.341333 microsegundos | 22.099205 segundos | Memoria: 0 bytes
Algorithm: BruteForce | Dataset: dataset_fixed_s2 | S1 size: 13 S2 size: 15 | Time: 59821659.254000 microsegundos | 59.821659 segundos | Memoria: 0 bytes
