Algorithm: DynamicSolution | Dataset: dataset_s2_empty | S1 size: 15 S2 size: 0 | Time: 5.050000 microsegundos | 0.000005 segundos | Memoria: 856 bytes
Algorithm: DynamicSolution | Dataset: dataset_s2_empty | S1 size: 16 S2 size: 0 | Time: 22.334000 microsegundos | 0.000022 segundos | Memoria: 908 bytes
Algorithm: DynamicSolution | Dataset: dataset_s2_empty | S1 size: 17 S2 size: 0 | Time: 0.866000 microsegundos | 0.000001 segundos | Memoria: 960 bytes
Algorithm: DynamicSolution | Dataset: dataset_s2_empty | S1 size: 18 S2 size: 0 | Time: 0.956000 microsegundos | 0.000001 segundos | Memoria: 1012 bytes
Algorithm: DynamicSolution | Dataset: dataset_s2_empty | S1 size: 19 S2 size: 0 | Time: 0.852000 microsegundos | 0.000001 segundos | Memoria: 1064 bytes
Algorithm: DynamicSolution | Dataset: dataset_s2_empty | S1 size: 20 S2 size: 0 | Time: 0.952000 microsegundos | 0.000001 segundos | Memoria: 1116 bytes
Algorithm: DynamicSolution | Dataset: dataset_s2_empty | S1 size: 21 S2 size: 0 | Time: 1.738000 microsegundos | 0.000002 segundos | Memoria: 1168 bytes
Algorithm: DynamicSolution | Dataset: dataset_s2_empty | S1 size: 22 S2 size: 0 | Time: 2.152000 microsegundos | 0.000002 segundos | Memoria: 1220 bytes
Algorithm: DynamicSolution | Dataset: dataset_transposed | S1 size: 0 S2 size: 0 | Time: 0.436000 microsegundos | 0.000000 segundos | Memoria: 76 bytes
Algorithm: DynamicSolution | Dataset: dataset_transposed | S1 size: 1 S2 size: 1 | Time: 0.752000 microsegundos | 0.000001 segundos | Memoria: 136 bytes
Algorithm: DynamicSolution | Dataset: dataset_transposed | S1 size: 2 S2 size: 2 | Time: 1.244000 microsegundos | 0.000001 segundos | Memoria: 204 bytes
Algorithm: DynamicSolution | Dataset: dataset_transposed | S1 size: 3 S2 size: 3 | Time: 0.778000 microsegundos | 0.000001 segundos | Memoria: 280 bytes
Algorithm: DynamicSolution | Dataset: dataset_transposed | S1 size: 4 S2 size: 4 | Time: 0.904000 microsegundos | 0.000001 segundos | Memoria: 364 bytes
Algorithm: DynamicSolution | Dataset: dataset_transposed | S1 size: 5 S2 size: 5 | Time: 0.996000 microsegundos | 0.000001 segundos | Memoria: 456 bytes
Algorithm: DynamicSolution | Dataset: dataset_transposed | S1 size: 6 S2 size: 6 | Time: 2.070000 microsegundos | 0.000002 segundos | Memoria: 556 bytes
Algorithm: DynamicSolution | Dataset: dataset_transposed | S1 size: 7 S2 size: 7 | Time: 1.194000 microsegundos | 0.000001 segundos | Memoria: 664 bytes
Algorithm: DynamicSolution | Dataset: dataset_transposed | S1 size: 8 S2 size: 8 | Time: 2.552000 microsegundos | 0.000003 segundos | Memoria: 780 bytes
Algorithm: DynamicSolution | Dataset: dataset_transposed | S1 size: 9 S2 size: 9 | Time: 1.412000 microsegundos | 0.000001 segundos | Memoria: 904 bytes
Algorithm: DynamicSolution | Dataset: dataset_transposed | S1 size: 10 S2 size: 10 | Time: 1.676000 microsegundos | 0.000002 segundos | Memoria: 1036 bytes
Algorithm: DynamicSolution | Dataset: dataset_transposed | S1 size: 11 S2 size: 11 | Time: 1.858000 microsegundos | 0.000002 segundos | Memoria: 1176 bytes
Algorithm: DynamicSolution | Dataset: dataset_transposed | S1 size: 12 S2 size: 12 | Time: 3.980000 microsegundos | 0.000004 segundos | Memoria: 1324 bytes
Algorithm: DynamicSolution | Dataset: dataset_transposed | S1 size: 13 S2 size: 13 | Time: 2.410000 microsegundos | 0.000002 segundos | Memoria: 1480 bytes
Algorithm: DynamicSolution | Dataset: dataset_transposed | S1 size: 14 S2 size: 14 | Time: 6.584000 microsegundos | 0.000007 segundos | Memoria: 1644 bytes
Algorithm: DynamicSolution | Dataset: dataset_transposed | S1 size: 15 S2 size: 15 | Time: 11.132200 microsegundos | 0.000011 segundos | Memoria: 1816 bytes
Algorithm: DynamicSolution | Dataset: dataset_transposed | S1 size: 16 S2 size: 16 | Time: 5.420000 microsegundos | 0.000005 segundos | Memoria: 1996 bytes
Algorithm: DynamicSolution | Dataset: dataset_transposed | S1 size: 17 S2 size: 17 | Time: 8.588000 microsegundos | 0.000009 segundos | Memoria: 2184 bytes
Algorithm: DynamicSolution | Dataset: dataset_transposed | S1 size: 18 S2 size: 18 | Time: 3.802000 microsegundos | 0.000004 segundos | Memoria: 2380 bytes
Algorithm: DynamicSolution | Dataset: dataset_transposed | S1 size: 19 S2 size: 19 | Time: 5.066000 microsegundos | 0.000005 segundos | Memoria: 2584 bytes
Algorithm: DynamicSolution | Dataset: dataset_transposed | S1 size: 20 S2 size: 20 | Time: 3.972000 microsegundos | 0.000004 segundos | Memoria: 2796 bytes
Algorithm: DynamicSolution | Dataset: dataset_transposed | S1 size: 21 S2 size: 21 | Time: 4.128000 microsegundos | 0.000004 segundos | Memoria: 3016 bytes
Algorithm: DynamicSolution | Dataset: dataset_transposed | S1 size: 22 S2 size: 22 | Time: 11.308200 microsegundos | 0.000011 segundos | Memoria: 3244 bytes
Algorithm: DynamicSolution | Dataset: dataset_fixed_s2 | S1 size: 0 S2 size: 0 | Time: 0.876000 microsegundos | 0.000001 segundos | Memoria: 76 bytes
Algorithm: DynamicSolution | Dataset: dataset_fixed_s2 | S1 size: 1 S2 size: 22 | Time: 3.578000 microsegundos | 0.000004 segundos | Memoria: 304 bytes
Algorithm: DynamicSolution | Dataset: dataset_fixed_s2 | S1 size: 2 S2 size: 22 | Time: 1.602200 microsegundos | 0.000002 segundos | Memoria: 444 bytes
Algorithm: DynamicSolution | Dataset: dataset_fixed_s2 | S1 size: 3 S2 size: 22 | Time: 1.090000 microsegundos | 0.000001 segundos | Memoria: 584 bytes
Algorithm: DynamicSolution | Dataset: dataset_fixed_s2 | S1 size: 4 S2 size: 22 | Time: 1.794000 microsegundos | 0.000002 segundos | Memoria: 724 bytes
Algorithm: DynamicSolution | Dataset: dataset_fixed_s2 | S1 size: 5 S2 size: 22 | Time: 1.864000 microsegundos | 0.000002 segundos | Memoria: 864 bytes
Algorithm: DynamicSolution | Dataset: dataset_fixed_s2 | S1 size: 6 S2 size: 22 | Time: 2.362000 microsegundos | 0.000002 segundos | Memoria: 1004 bytes
Algorithm: DynamicSolution | Dataset: dataset_fixed_s2 | S1 size: 7 S2 size: 22 | Time: 2.964000 microsegundos | 0.000003 segundos | Memoria: 1144 bytes
Algorithm: DynamicSolution | Dataset: dataset_fixed_s2 | S1 size: 8 S2 size: 22 | Time: 5.620200 microsegundos | 0.000006 segundos | Memoria: 1284 bytes
Algorithm: DynamicSolution | Dataset: dataset_fixed_s2 | S1 size: 9 S2 size: 22 | Time: 2.188200 microsegundos | 0.000002 segundos | Memoria: 1424 bytes
Algorithm: DynamicSolution | Dataset: dataset_fixed_s2 | S1 size: 10 S2 size: 22 | Time: 3.600000 microsegundos | 0.000004 segundos | Memoria: 1564 bytes
Algorithm: DynamicSolution | Dataset: dataset_fixed_s2 | S1 size: 11 S2 size: 22 | Time: 4.332000 microsegundos | 0.000004 segundos | Memoria: 1704 bytes
Algorithm: DynamicSolution | Dataset: dataset_fixed_s2 | S1 size: 12 S2 size: 22 | Time: 3.606000 microsegundos | 0.000004 segundos | Memoria: 1844 bytes
Algorithm: DynamicSolution | Dataset: dataset_fixed_s2 | S1 size: 13 S2 size: 22 | Time: 5.240200 microsegundos | 0.000005 segundos | Memoria: 1984 bytes
Algorithm: DynamicSolution | Dataset: dataset_fixed_s2 | S1 size: 14 S2 size: 22 | Time: 6.330200 microsegundos | 0.000006 segundos | Memoria: 2124 bytes
Algorithm: DynamicSolution | Dataset: dataset_fixed_s2 | S1 size: 15 S2 size: 22 | Time: 5.222000 microsegundos | 0.000005 segundos | Memoria: 2264 bytes
Algorithm: DynamicSolution | Dataset: dataset_fixed_s2 | S1 size: 16 S2 size: 22 | Time: 5.760000 microsegundos | 0.000006 segundos | Memoria: 2404 bytes
Algorithm: DynamicSolution | Dataset: dataset_fixed_s2 | S1 size: 17 S2 size: 22 | Time: 5.094200 microsegundos | 0.000005 segundos | Memoria: 2544 bytes
Algorithm: DynamicSolution | Dataset: dataset_fixed_s2 | S1 size: 18 S2 size: 22 | Time: 5.798200 microsegundos | 0.000006 segundos | Memoria: 2684 bytes
Algorithm: DynamicSolution | Dataset: dataset_fixed_s2 | S1 size: 19 S2 size: 22 | Time: 6.816200 microsegundos | 0.000007 segundos | Memoria: 2824 bytes
Algorithm: DynamicSolution | Dataset: dataset_fixed_s2 | S1 size: 20 S2 size: 22 | Time: 6.292000 microsegundos | 0.000006 segundos | Memoria: 2964 bytes
Algorithm: DynamicSolution | Dataset: dataset_fixed_s2 | S1 size: 21 S2 size: 22 | Time: 5.560000 microsegundos | 0.000006 segundos | Memoria: 3104 bytes
Algorithm: DynamicSolution | Dataset: dataset_fixed_s2 | S1 size: 22 S2 size: 22 | Time: 5.982000 microsegundos | 0.000006 segundos | Memoria: 3244 bytes
Algorithm: DynamicSolution | Dataset: dataset_repeated_chars | S1 size: 0 S2 size: 0 | Time: 0.684000 microsegundos | 0.000001 segundos | Memoria: 76 bytes
Algorithm: DynamicSolution | Dataset: dataset_repeated_chars | S1 size: 1 S2 size: 1 | Time: 1.674000 microsegundos | 0.000002 segundos | Memoria: 136 bytes
Algorithm: DynamicSolution | Dataset: dataset_repeated_chars | S1 size: 2 S2 size: 2 | Time: 1.512000 microsegundos | 0.000002 segundos | Memoria: 204 bytes
